OrderID,ShipMode,CustomerID,CustomerName,Segment,City,State,Country,Market,Region,ProductID,Category,Sub-Category,ProductName,Sales,Quantity,Discount,Profit,ShippingCost,OrderPriority
F-10010,Same Day,F-258,Tyler Davis,Consumer,Bhopal,Telangana,India,APAC,Central,FUR-9476,Furniture,Tables,Round Coffee Table,7772.06,1,0.1,1497.51,498.0,Critical
F-10011,Standard Class,F-978,Pamela Oneill,Home Office,Hyderabad,Tamil Nadu,India,APAC,North,FUR-2463,Furniture,Tables,Round Coffee Table,9530.06,1,0.1,390.78,227.4,Medium
F-10012,Same Day,F-210,Frederick Stanley,Home Office,Mumbai,Karnataka,India,APAC,West,FUR-3105,Furniture,Storage,Steel File Cabinet,2754.61,4,0.1,949.59,304.43,High
F-10013,Same Day,F-653,Marcus Solis,Consumer,Bhopal,Karnataka,India,APAC,South,FUR-9437,Furniture,Tables,Modular Work Table,4501.24,1,0.05,1368.62,119.03,High
F-10014,First Class,F-740,Tammy Miller,Home Office,Bangalore,West Bengal,India,APAC,North,FUR-9679,Furniture,Chairs,Adjustable Desk Chair,6419.44,2,0.0,835.68,483.52,Medium
F-10015,Second Class,F-538,Nicholas Medina,Home Office,Hyderabad,Rajasthan,India,APAC,Central,FUR-8232,Furniture,Tables,Modular Work Table,7985.47,4,0.0,772.15,344.79,High
F-10016,Second Class,F-348,Taylor Arias,Consumer,Delhi,Kerala,India,APAC,East,FUR-5236,Furniture,Tables,Wooden Study Table,4772.31,1,0.0,1009.76,457.27,Critical
F-10017,Standard Class,F-458,Michael Burgess,Home Office,Hyderabad,Delhi,India,APAC,North,FUR-5560,Furniture,Bookcases,Wooden Bookshelf,3343.47,2,0.1,862.06,252.65,High
F-10018,First Class,F-266,John Harris,Consumer,Ahmedabad,Karnataka,India,APAC,North,FUR-4808,Furniture,Bookcases,Wooden Bookshelf,9317.24,2,0.05,1240.19,150.32,Low
F-10019,Second Class,F-987,Andrea Santiago,Corporate,Ahmedabad,Gujarat,India,APAC,North,FUR-2906,Furniture,Storage,Steel File Cabinet,2413.16,2,0.0,280.25,369.76,High
F-10020,Second Class,F-440,Christian Brown,Home Office,Chennai,Rajasthan,India,APAC,Central,FUR-5452,Furniture,Chairs,Adjustable Desk Chair,2062.84,2,0.05,336.98,168.8,Low
F-10021,First Class,F-982,Christina Lane,Home Office,Kochi,Maharashtra,India,APAC,North,FUR-1451,Furniture,Chairs,Leather Executive Chair,6061.12,4,0.0,1418.37,478.73,High
F-10022,First Class,F-527,Katherine Adams,Consumer,Mumbai,Gujarat,India,APAC,West,FUR-9622,Furniture,Storage,Steel File Cabinet,8990.24,4,0.05,188.01,304.65,High
F-10023,First Class,F-283,Maria Alvarado,Corporate,Delhi,Rajasthan,India,APAC,West,FUR-4593,Furniture,Bookcases,Compact Wall Shelf,4385.83,4,0.1,609.1,183.44,High
F-10024,First Class,F-809,Adam Diaz,Consumer,Bhopal,Karnataka,India,APAC,West,FUR-9004,Furniture,Bookcases,Compact Wall Shelf,5145.12,4,0.05,879.51,346.72,Critical
F-10025,Second Class,F-952,Melissa Malone,Home Office,Kochi,Kerala,India,APAC,North,FUR-1868,Furniture,Bookcases,Compact Wall Shelf,7106.85,4,0.0,455.83,312.31,High
F-10026,Second Class,F-251,Rebecca Hunt,Home Office,Bhopal,West Bengal,India,APAC,East,FUR-1858,Furniture,Tables,Round Coffee Table,6008.81,5,0.0,1195.81,256.25,Low
F-10027,Same Day,F-708,Jamie Orr,Corporate,Jaipur,Gujarat,India,APAC,Central,FUR-5398,Furniture,Bookcases,Wooden Bookshelf,9524.0,1,0.05,700.27,338.24,High
F-10028,First Class,F-716,Samantha Morris,Home Office,Kochi,Maharashtra,India,APAC,East,FUR-6289,Furniture,Storage,Steel File Cabinet,3454.38,2,0.0,790.47,476.94,Critical
F-10029,Standard Class,F-443,Paula Mccoy,Consumer,Kochi,Madhya Pradesh,India,APAC,North,FUR-8611,Furniture,Bookcases,Wooden Bookshelf,8727.57,4,0.1,1176.1,112.46,High
F-10030,Standard Class,F-466,Joshua Sullivan,Home Office,Bhopal,West Bengal,India,APAC,East,FUR-6505,Furniture,Storage,Steel File Cabinet,6236.66,2,0.05,1439.78,469.17,High
F-10031,First Class,F-474,Jeffrey Perez,Home Office,Kochi,Rajasthan,India,APAC,Central,FUR-9915,Furniture,Storage,2-Door Wardrobe,4805.59,2,0.0,875.23,212.19,High
F-10032,First Class,F-176,Scott Garza,Corporate,Ahmedabad,Kerala,India,APAC,North,FUR-2890,Furniture,Bookcases,Compact Wall Shelf,5324.67,3,0.0,1344.98,186.1,Low
F-10033,First Class,F-633,Timothy Hayden,Corporate,Chennai,Delhi,India,APAC,Central,FUR-2819,Furniture,Bookcases,Compact Wall Shelf,6645.18,4,0.1,661.46,202.34,Medium
F-10034,Same Day,F-257,Eric Duffy,Consumer,Delhi,Telangana,India,APAC,East,FUR-2955,Furniture,Tables,Modular Work Table,8250.43,5,0.05,562.34,400.54,Critical
F-10035,Second Class,F-213,Michael Clark,Home Office,Mumbai,West Bengal,India,APAC,Central,FUR-8583,Furniture,Bookcases,Compact Wall Shelf,2661.86,5,0.0,220.65,327.52,Low
F-10036,Same Day,F-658,Danielle Lee,Consumer,Chennai,Rajasthan,India,APAC,Central,FUR-8457,Furniture,Chairs,Ergonomic Office Chair,2207.79,1,0.0,128.01,270.26,Medium
F-10037,First Class,F-498,Ernest Sutton,Corporate,Delhi,Telangana,India,APAC,East,FUR-4781,Furniture,Tables,Round Coffee Table,4530.76,5,0.05,1421.7,240.9,Medium
F-10038,First Class,F-142,Rebecca Mcdaniel,Consumer,Ahmedabad,West Bengal,India,APAC,North,FUR-3242,Furniture,Bookcases,Wooden Bookshelf,7445.52,2,0.1,523.37,368.97,Medium
F-10039,First Class,F-767,Haley Horton,Consumer,Mumbai,Delhi,India,APAC,West,FUR-8744,Furniture,Chairs,Adjustable Desk Chair,7650.47,1,0.05,443.54,147.07,Critical
F-10040,First Class,F-288,Stephen Santiago,Corporate,Ahmedabad,Tamil Nadu,India,APAC,Central,FUR-9538,Furniture,Chairs,Adjustable Desk Chair,5231.5,4,0.0,997.67,388.14,Critical
F-10041,Standard Class,F-807,Mr. Scott Wiggins,Home Office,Mumbai,Telangana,India,APAC,East,FUR-2180,Furniture,Storage,Steel File Cabinet,2560.92,5,0.0,992.39,482.53,Critical
F-10042,Same Day,F-481,Scott Smith,Consumer,Bhopal,Gujarat,India,APAC,West,FUR-8830,Furniture,Bookcases,Compact Wall Shelf,5413.42,2,0.05,466.01,158.4,Critical
F-10043,Same Day,F-738,Blake Mccarthy,Corporate,Delhi,Maharashtra,India,APAC,West,FUR-5192,Furniture,Bookcases,Compact Wall Shelf,2779.87,4,0.1,915.86,423.87,Critical
F-10044,Second Class,F-398,Sonia Roman,Consumer,Bhopal,Tamil Nadu,India,APAC,West,FUR-4432,Furniture,Chairs,Adjustable Desk Chair,7854.02,5,0.05,1361.75,196.5,High
F-10045,Same Day,F-982,Barbara Farley,Home Office,Chennai,Kerala,India,APAC,South,FUR-7211,Furniture,Storage,Steel File Cabinet,8554.11,1,0.0,1447.95,162.21,Critical
F-10046,Standard Class,F-767,Terri Arnold,Home Office,Bhopal,West Bengal,India,APAC,Central,FUR-9528,Furniture,Tables,Modular Work Table,8078.47,5,0.0,321.96,141.43,High
F-10047,Second Class,F-759,David Lewis,Home Office,Kolkata,Gujarat,India,APAC,North,FUR-6534,Furniture,Storage,2-Door Wardrobe,5958.12,5,0.05,1180.11,346.57,Medium
F-10048,Standard Class,F-109,Jennifer Williams,Corporate,Mumbai,Telangana,India,APAC,South,FUR-3813,Furniture,Chairs,Adjustable Desk Chair,8898.92,4,0.1,1098.89,283.4,Low
F-10049,Same Day,F-303,William West,Corporate,Bhopal,Kerala,India,APAC,West,FUR-6788,Furniture,Bookcases,Compact Wall Shelf,5686.99,4,0.1,887.87,382.31,High
F-10050,Second Class,F-583,Terrence Reid,Corporate,Bangalore,Gujarat,India,APAC,South,FUR-7668,Furniture,Tables,Wooden Study Table,6411.89,3,0.1,799.95,180.26,High
F-10051,Second Class,F-186,James Williams,Corporate,Jaipur,Madhya Pradesh,India,APAC,South,FUR-2203,Furniture,Storage,2-Door Wardrobe,6661.79,1,0.0,1103.36,250.55,Medium
F-10052,First Class,F-291,Michael Smith,Consumer,Hyderabad,Madhya Pradesh,India,APAC,North,FUR-4313,Furniture,Storage,Steel File Cabinet,6714.8,2,0.0,141.02,285.57,Critical
F-10053,Same Day,F-896,Jerome Lyons,Corporate,Bhopal,Delhi,India,APAC,Central,FUR-9105,Furniture,Chairs,Leather Executive Chair,7008.28,2,0.1,899.46,335.09,Critical
F-10054,Same Day,F-119,Shannon Pope,Home Office,Mumbai,Telangana,India,APAC,North,FUR-7015,Furniture,Chairs,Leather Executive Chair,6035.99,5,0.0,990.78,347.7,Low
F-10055,Second Class,F-857,Johnathan Mueller,Consumer,Chennai,Maharashtra,India,APAC,West,FUR-3216,Furniture,Tables,Wooden Study Table,4296.77,4,0.0,418.44,233.91,Medium
F-10056,First Class,F-173,Jennifer Taylor,Corporate,Chennai,Madhya Pradesh,India,APAC,Central,FUR-3217,Furniture,Bookcases,Compact Wall Shelf,8740.87,3,0.05,783.69,487.24,Critical
F-10057,Same Day,F-504,Jennifer Tran,Consumer,Chennai,Gujarat,India,APAC,West,FUR-6493,Furniture,Storage,Steel File Cabinet,3916.29,1,0.1,338.03,362.84,Low
F-10058,Second Class,F-251,Kirsten Gallagher,Corporate,Bhopal,Tamil Nadu,India,APAC,South,FUR-6816,Furniture,Bookcases,Wooden Bookshelf,2378.65,3,0.1,821.91,267.65,Medium
F-10059,Same Day,F-850,Carla Mccarthy,Corporate,Jaipur,Tamil Nadu,India,APAC,Central,FUR-5509,Furniture,Bookcases,Compact Wall Shelf,4576.32,3,0.1,147.68,421.33,Medium
F-10060,Second Class,F-962,Sandra Ross,Corporate,Hyderabad,Rajasthan,India,APAC,North,FUR-9171,Furniture,Tables,Wooden Study Table,3257.94,4,0.05,938.58,263.97,High
F-10061,First Class,F-880,Seth Vega,Corporate,Kolkata,Delhi,India,APAC,West,FUR-5254,Furniture,Bookcases,Compact Wall Shelf,8460.48,5,0.05,136.0,315.05,Low
F-10062,Same Day,F-411,Karen Castro,Home Office,Bangalore,Rajasthan,India,APAC,South,FUR-1743,Furniture,Tables,Wooden Study Table,2982.01,5,0.05,394.78,345.64,High
F-10063,Standard Class,F-913,Joshua Simpson,Home Office,Kolkata,Gujarat,India,APAC,North,FUR-5969,Furniture,Tables,Round Coffee Table,8076.0,1,0.05,730.08,205.77,Medium
F-10064,Second Class,F-127,Cheryl Thomas,Corporate,Mumbai,Maharashtra,India,APAC,South,FUR-8310,Furniture,Bookcases,Compact Wall Shelf,9961.0,1,0.0,144.49,183.36,Low
F-10065,Same Day,F-469,Joseph Carr,Consumer,Ahmedabad,Karnataka,India,APAC,West,FUR-1250,Furniture,Storage,2-Door Wardrobe,6252.74,3,0.05,1019.04,136.37,Medium
F-10066,First Class,F-932,Janet James,Corporate,Kochi,Telangana,India,APAC,East,FUR-2122,Furniture,Bookcases,Compact Wall Shelf,7178.44,5,0.0,573.06,245.13,Critical
F-10067,Same Day,F-599,Anna Weber,Corporate,Bangalore,West Bengal,India,APAC,East,FUR-9354,Furniture,Tables,Modular Work Table,4511.81,1,0.0,855.51,397.39,High
F-10068,First Class,F-580,Michelle Williams,Consumer,Jaipur,Gujarat,India,APAC,North,FUR-6956,Furniture,Bookcases,Wooden Bookshelf,3048.51,2,0.1,692.01,240.91,High
F-10069,Same Day,F-780,Nicholas Yoder,Home Office,Ahmedabad,Madhya Pradesh,India,APAC,West,FUR-1005,Furniture,Bookcases,Wooden Bookshelf,3813.83,2,0.0,333.29,258.67,Medium
F-10070,Second Class,F-168,Trevor Hutchinson,Corporate,Delhi,Delhi,India,APAC,North,FUR-8840,Furniture,Bookcases,Compact Wall Shelf,8653.24,5,0.0,199.25,367.12,Medium
F-10071,Second Class,F-325,Amy Eaton DDS,Consumer,Kochi,Delhi,India,APAC,North,FUR-7458,Furniture,Storage,Steel File Cabinet,5316.15,1,0.05,1215.37,424.54,Critical
F-10072,Standard Class,F-738,Kristi Cunningham,Home Office,Delhi,West Bengal,India,APAC,East,FUR-1875,Furniture,Chairs,Leather Executive Chair,6305.36,3,0.0,1228.26,160.23,High
F-10073,First Class,F-260,Kristina Stephens,Consumer,Kochi,Tamil Nadu,India,APAC,South,FUR-2127,Furniture,Bookcases,Compact Wall Shelf,9721.89,4,0.1,650.58,495.17,Critical
F-10074,Second Class,F-756,Carlos Russo,Home Office,Ahmedabad,Maharashtra,India,APAC,East,FUR-3204,Furniture,Tables,Wooden Study Table,3798.35,3,0.1,240.14,274.99,Low
F-10075,Standard Class,F-558,Jennifer Vasquez DVM,Corporate,Delhi,Maharashtra,India,APAC,Central,FUR-3066,Furniture,Storage,Steel File Cabinet,2226.07,1,0.05,1303.01,146.61,Low
F-10076,Second Class,F-780,Janet Griffith,Corporate,Kolkata,Telangana,India,APAC,Central,FUR-5896,Furniture,Tables,Round Coffee Table,3781.79,1,0.05,898.97,155.22,Critical
F-10077,Standard Class,F-415,Leah Crawford,Corporate,Ahmedabad,Tamil Nadu,India,APAC,Central,FUR-2541,Furniture,Tables,Round Coffee Table,5327.35,5,0.05,1078.39,475.6,Low
F-10078,Standard Class,F-730,Kelly Caldwell,Corporate,Chennai,West Bengal,India,APAC,South,FUR-8441,Furniture,Storage,Steel File Cabinet,8593.36,1,0.1,611.73,154.87,Critical
F-10079,Standard Class,F-232,Stephen Coleman,Consumer,Mumbai,Tamil Nadu,India,APAC,Central,FUR-5589,Furniture,Bookcases,Wooden Bookshelf,7215.03,1,0.1,627.54,304.41,Medium
F-10080,Second Class,F-841,Kevin Peck,Corporate,Mumbai,Telangana,India,APAC,East,FUR-4323,Furniture,Storage,Steel File Cabinet,3288.8,3,0.1,418.07,115.96,Critical
F-10081,First Class,F-511,James Kelly,Home Office,Jaipur,Tamil Nadu,India,APAC,South,FUR-3872,Furniture,Bookcases,Compact Wall Shelf,6129.38,5,0.05,1491.61,349.13,Medium
F-10082,Same Day,F-305,Dale Ramirez,Home Office,Delhi,West Bengal,India,APAC,East,FUR-5938,Furniture,Chairs,Adjustable Desk Chair,3483.07,1,0.05,930.76,300.4,Low
F-10083,First Class,F-159,Joy Johnson,Corporate,Kolkata,Tamil Nadu,India,APAC,Central,FUR-7407,Furniture,Bookcases,Wooden Bookshelf,9385.52,5,0.1,170.9,263.5,High
F-10084,Second Class,F-147,Dr. James Drake DDS,Home Office,Mumbai,Telangana,India,APAC,South,FUR-7419,Furniture,Storage,2-Door Wardrobe,5161.03,3,0.0,1308.28,433.25,Medium
F-10085,Same Day,F-786,Susan Hardin,Home Office,Kochi,Tamil Nadu,India,APAC,South,FUR-5184,Furniture,Storage,2-Door Wardrobe,7611.77,3,0.05,1451.34,323.48,Low
F-10086,First Class,F-109,Andrea Hawkins,Home Office,Hyderabad,Delhi,India,APAC,Central,FUR-6027,Furniture,Storage,2-Door Wardrobe,7278.49,4,0.1,1289.22,434.64,Medium
F-10087,Second Class,F-709,James Huang,Consumer,Mumbai,Tamil Nadu,India,APAC,Central,FUR-3788,Furniture,Storage,Steel File Cabinet,5539.87,1,0.05,1059.63,127.0,Low
F-10088,First Class,F-532,Jasmine Harrison,Home Office,Kochi,Gujarat,India,APAC,Central,FUR-2530,Furniture,Chairs,Ergonomic Office Chair,8437.3,5,0.05,398.8,382.74,Critical
F-10089,Standard Class,F-814,Brooke Thompson,Corporate,Bangalore,Telangana,India,APAC,Central,FUR-7313,Furniture,Chairs,Ergonomic Office Chair,2778.9,2,0.1,860.4,183.06,Critical
F-10090,Same Day,F-938,Aimee Chapman,Corporate,Chennai,Gujarat,India,APAC,North,FUR-7418,Furniture,Tables,Wooden Study Table,9683.32,1,0.05,321.14,402.15,High
F-10091,First Class,F-399,Tammy Lawrence,Home Office,Chennai,Delhi,India,APAC,West,FUR-7545,Furniture,Storage,2-Door Wardrobe,8094.94,4,0.1,190.05,457.74,Critical
F-10092,Second Class,F-259,Stephen Zamora,Home Office,Chennai,Maharashtra,India,APAC,West,FUR-8103,Furniture,Chairs,Ergonomic Office Chair,4922.09,4,0.0,290.72,411.82,Low
F-10093,First Class,F-196,Michael Gonzales,Corporate,Bangalore,Delhi,India,APAC,East,FUR-6179,Furniture,Chairs,Leather Executive Chair,9239.26,2,0.05,282.33,419.68,Critical
F-10094,Second Class,F-605,David Diaz,Home Office,Bhopal,Tamil Nadu,India,APAC,West,FUR-9164,Furniture,Tables,Modular Work Table,2063.33,1,0.05,178.93,477.55,Low
F-10095,Same Day,F-958,William Ramirez,Home Office,Mumbai,Maharashtra,India,APAC,North,FUR-4520,Furniture,Storage,2-Door Wardrobe,3248.04,3,0.1,829.86,314.43,Low
F-10096,Standard Class,F-851,Micheal Walker,Corporate,Bhopal,Telangana,India,APAC,South,FUR-1969,Furniture,Tables,Wooden Study Table,8262.88,1,0.0,447.39,464.88,Critical
F-10097,Same Day,F-859,Anne Cruz,Corporate,Bhopal,Karnataka,India,APAC,West,FUR-6100,Furniture,Tables,Modular Work Table,9160.15,1,0.05,709.58,144.24,Critical
F-10098,Second Class,F-272,Amanda Lutz,Consumer,Mumbai,Tamil Nadu,India,APAC,Central,FUR-4215,Furniture,Bookcases,Wooden Bookshelf,7462.39,3,0.0,856.0,284.21,Medium
F-10099,Standard Class,F-478,Rachel Adkins,Consumer,Hyderabad,Delhi,India,APAC,East,FUR-9079,Furniture,Bookcases,Compact Wall Shelf,9435.26,3,0.05,1067.27,251.13,Medium
F-10100,First Class,F-548,James Preston,Consumer,Kochi,Kerala,India,APAC,North,FUR-2616,Furniture,Storage,2-Door Wardrobe,4821.3,5,0.0,346.07,410.77,Low
F-10101,Second Class,F-587,Linda Thompson,Consumer,Delhi,Delhi,India,APAC,South,FUR-2351,Furniture,Bookcases,Compact Wall Shelf,3480.6,2,0.1,510.88,445.46,Medium
F-10102,Second Class,F-731,Alex Adams,Home Office,Kolkata,Gujarat,India,APAC,Central,FUR-1230,Furniture,Storage,2-Door Wardrobe,8631.6,3,0.05,522.91,485.83,High
F-10103,First Class,F-232,Joseph Davis,Corporate,Kolkata,Madhya Pradesh,India,APAC,North,FUR-6231,Furniture,Tables,Modular Work Table,2335.1,4,0.05,154.73,435.26,High
F-10104,Same Day,F-128,David Bowman,Home Office,Delhi,Maharashtra,India,APAC,North,FUR-4163,Furniture,Chairs,Adjustable Desk Chair,7233.72,5,0.1,1229.28,255.09,Low
F-10105,Standard Class,F-605,Connor Brown,Corporate,Kolkata,Delhi,India,APAC,South,FUR-7285,Furniture,Bookcases,Compact Wall Shelf,3553.18,4,0.1,736.55,209.08,Medium
F-10106,Standard Class,F-630,Elizabeth Coffey,Consumer,Kochi,Madhya Pradesh,India,APAC,South,FUR-3381,Furniture,Bookcases,Compact Wall Shelf,2718.07,4,0.1,201.38,399.23,Low
F-10107,Standard Class,F-129,Robert Salinas,Corporate,Ahmedabad,Telangana,India,APAC,North,FUR-8538,Furniture,Bookcases,Compact Wall Shelf,2872.78,4,0.1,311.72,430.07,Critical
F-10108,Same Day,F-850,Christina Wright,Consumer,Bhopal,Kerala,India,APAC,West,FUR-1637,Furniture,Bookcases,Wooden Bookshelf,4456.49,1,0.0,1493.27,214.87,Critical
F-10109,Same Day,F-369,Kevin Brown,Consumer,Delhi,Tamil Nadu,India,APAC,East,FUR-9029,Furniture,Bookcases,Compact Wall Shelf,9698.19,4,0.05,1460.54,347.26,Critical
F-10110,Standard Class,F-464,Lynn Ramirez,Consumer,Mumbai,Gujarat,India,APAC,South,FUR-8773,Furniture,Bookcases,Wooden Bookshelf,3325.86,4,0.05,632.95,467.53,Low
F-10111,Second Class,F-628,Cheryl Ashley,Consumer,Mumbai,Gujarat,India,APAC,West,FUR-8597,Furniture,Tables,Wooden Study Table,9302.47,3,0.05,575.96,414.93,Critical
F-10112,Same Day,F-734,John Ruiz,Home Office,Delhi,Madhya Pradesh,India,APAC,South,FUR-9232,Furniture,Chairs,Adjustable Desk Chair,6252.78,2,0.05,230.85,436.23,Medium
F-10113,Second Class,F-360,Gwendolyn Briggs,Consumer,Bangalore,Kerala,India,APAC,Central,FUR-7966,Furniture,Chairs,Adjustable Desk Chair,6095.8,1,0.0,231.91,407.1,Low
F-10114,First Class,F-358,Vanessa Pierce,Consumer,Chennai,Maharashtra,India,APAC,South,FUR-7886,Furniture,Tables,Round Coffee Table,6785.53,5,0.1,690.65,179.29,Low
F-10115,Second Class,F-559,Margaret Hudson,Home Office,Bangalore,Rajasthan,India,APAC,West,FUR-8593,Furniture,Chairs,Adjustable Desk Chair,2570.92,1,0.05,338.67,479.94,Medium
F-10116,Standard Class,F-447,Anna Parks,Corporate,Kolkata,Tamil Nadu,India,APAC,Central,FUR-4805,Furniture,Bookcases,Wooden Bookshelf,3226.63,3,0.1,1014.91,303.22,Medium
F-10117,Same Day,F-753,Valerie Burnett,Corporate,Delhi,Madhya Pradesh,India,APAC,North,FUR-9051,Furniture,Bookcases,Compact Wall Shelf,4889.44,4,0.1,598.46,219.88,Low
F-10118,Same Day,F-161,Elizabeth Galloway,Home Office,Kochi,Rajasthan,India,APAC,East,FUR-7696,Furniture,Tables,Round Coffee Table,3488.11,3,0.05,326.18,200.46,Medium
F-10119,Standard Class,F-163,Rhonda Davis,Corporate,Delhi,Maharashtra,India,APAC,West,FUR-9197,Furniture,Storage,Steel File Cabinet,7977.35,3,0.0,292.31,407.88,Medium
F-10120,Second Class,F-595,Janet Schaefer,Home Office,Ahmedabad,Madhya Pradesh,India,APAC,West,FUR-7657,Furniture,Chairs,Leather Executive Chair,8337.69,4,0.05,571.49,346.37,Low
F-10121,Second Class,F-932,Linda Cox,Corporate,Delhi,Delhi,India,APAC,West,FUR-3422,Furniture,Chairs,Leather Executive Chair,2396.45,5,0.05,773.84,148.4,Low
F-10122,First Class,F-483,Eric Roberts,Home Office,Ahmedabad,Rajasthan,India,APAC,East,FUR-9888,Furniture,Chairs,Adjustable Desk Chair,7392.28,3,0.0,1050.01,485.85,Critical
F-10123,Second Class,F-664,Christine Henderson,Corporate,Delhi,Madhya Pradesh,India,APAC,North,FUR-1866,Furniture,Bookcases,Compact Wall Shelf,8016.19,5,0.05,534.98,126.78,Low
F-10124,Second Class,F-754,Jennifer Bryan,Corporate,Kochi,Tamil Nadu,India,APAC,South,FUR-9595,Furniture,Chairs,Ergonomic Office Chair,3075.96,4,0.05,1162.84,410.59,Critical
F-10125,Same Day,F-587,Paige Herring,Corporate,Kolkata,Telangana,India,APAC,East,FUR-5004,Furniture,Tables,Modular Work Table,4582.94,4,0.05,982.99,322.23,Critical
F-10126,Second Class,F-839,Jennifer Murray,Corporate,Jaipur,Rajasthan,India,APAC,Central,FUR-3560,Furniture,Storage,Steel File Cabinet,2430.11,2,0.0,547.17,164.57,Critical
F-10127,Standard Class,F-683,John Coleman,Corporate,Hyderabad,Delhi,India,APAC,South,FUR-6969,Furniture,Storage,2-Door Wardrobe,4737.74,5,0.05,416.15,262.62,High
F-10128,First Class,F-849,Chad Rogers,Consumer,Bangalore,Kerala,India,APAC,West,FUR-2952,Furniture,Storage,2-Door Wardrobe,6501.06,3,0.1,1208.45,350.31,Medium
F-10129,First Class,F-924,Denise Mendoza,Consumer,Bhopal,Maharashtra,India,APAC,South,FUR-8812,Furniture,Chairs,Ergonomic Office Chair,5196.4,2,0.0,830.65,187.57,Critical
F-10130,Same Day,F-404,Scott Henson,Home Office,Delhi,Telangana,India,APAC,South,FUR-3624,Furniture,Bookcases,Compact Wall Shelf,6270.36,5,0.1,1442.71,343.39,Low
F-10131,Standard Class,F-552,Maria Lee,Home Office,Kochi,Kerala,India,APAC,South,FUR-5927,Furniture,Tables,Round Coffee Table,7607.19,4,0.05,533.79,424.76,Critical
F-10132,First Class,F-557,Devon Daniels,Corporate,Bhopal,Gujarat,India,APAC,East,FUR-3709,Furniture,Storage,Steel File Cabinet,9569.49,5,0.0,728.31,358.87,High
F-10133,Second Class,F-944,Willie Wilson,Consumer,Mumbai,Delhi,India,APAC,East,FUR-6116,Furniture,Chairs,Ergonomic Office Chair,5276.0,2,0.1,955.18,292.78,Critical
F-10134,First Class,F-245,Gregory Wright,Home Office,Bangalore,Tamil Nadu,India,APAC,South,FUR-7487,Furniture,Tables,Round Coffee Table,5711.55,2,0.1,574.17,113.79,Medium
F-10135,Second Class,F-402,Lisa Rivera,Corporate,Chennai,Tamil Nadu,India,APAC,North,FUR-3664,Furniture,Tables,Round Coffee Table,5715.46,1,0.0,1212.32,324.97,Medium
F-10136,Same Day,F-235,Joseph Woods,Consumer,Mumbai,West Bengal,India,APAC,South,FUR-2498,Furniture,Chairs,Leather Executive Chair,8523.53,2,0.0,533.12,254.28,Critical
F-10137,Same Day,F-169,Sharon Gonzales,Home Office,Chennai,Karnataka,India,APAC,Central,FUR-2679,Furniture,Bookcases,Compact Wall Shelf,7899.32,1,0.05,1450.37,205.08,Critical
F-10138,Second Class,F-306,Bradley Anderson,Home Office,Kolkata,Rajasthan,India,APAC,North,FUR-6941,Furniture,Chairs,Ergonomic Office Chair,6267.99,4,0.1,1293.92,313.54,High
F-10139,First Class,F-325,Wendy Martinez,Home Office,Bhopal,West Bengal,India,APAC,North,FUR-1645,Furniture,Tables,Modular Work Table,2507.02,5,0.05,485.64,206.97,Critical
F-10140,Second Class,F-786,Richard Watson,Consumer,Jaipur,Karnataka,India,APAC,Central,FUR-1433,Furniture,Tables,Modular Work Table,8378.45,1,0.1,1108.68,400.15,Medium
